Id,SalePrice
1461,147500
1462,147500
1463,210000
1464,210000
1465,175000
1466,210000
1467,142125
1468,175000
1469,210000
1470,142125
1471,266500
1472,88000
1473,92000
1474,142125
1475,175000
1476,611657
1477,287090
1478,210000
1479,210000
1480,210000
1481,210000
1482,266500
1483,210000
1484,266500
1485,210000
1486,175000
1487,175000
1488,210000
1489,287090
1490,210000
1491,210000
1492,142125
1493,142125
1494,210000
1495,210000
1496,266500
1497,266500
1498,266500
1499,266500
1500,175000
1501,175000
1502,266500
1503,287090
1504,175000
1505,210000
1506,147500
1507,210000
1508,210000
1509,147500
1510,147500
1511,147500
1512,147500
1513,147500
1514,147500
1515,142125
1516,147500
1517,266500
1518,142125
1519,266500
1520,142125
1521,147500
1522,147500
1523,142125
1524,147500
1525,147500
1526,147500
1527,142125
1528,142125
1529,147500
1530,142125
1531,102776
1532,142125
1533,142125
1534,119000
1535,266500
1536,142125
1537,142125
1538,266500
1539,266500
1540,147500
1541,142125
1542,142125
1543,266500
1544,142125
1545,147500
1546,147500
1547,142125
1548,147500
1549,142125
1550,142125
1551,147500
1552,142125
1553,142125
1554,142125
1555,147500
1556,147500
1557,142125
1558,147500
1559,142125
1560,147500
1561,147500
1562,142125
1563,142125
1564,142125
1565,147500
1566,142125
1567,147500
1568,210000
1569,142125
1570,210000
1571,142125
1572,142125
1573,210000
1574,147500
1575,210000
1576,210000
1577,287090
1578,266500
1579,210000
1580,175000
1581,142125
1582,142125
1583,210000
1584,210000
1585,210000
1586,142125
1587,142125
1588,142125
1589,147500
1590,175000
1591,142125
1592,142125
1593,142125
1594,142125
1595,147500
1596,147500
1597,142125
1598,210000
1599,175000
1600,175000
1601,60000
1602,147500
1603,142125
1604,266500
1605,210000
1606,210000
1607,175000
1608,287090
1609,287090
1610,167500
1611,147500
1612,142125
1613,142125
1614,142125
1615,80000
1616,92000
1617,92000
1618,142125
1619,142125
1620,142125
1621,175000
1622,142125
1623,210000
1624,210000
1625,147500
1626,210000
1627,175000
1628,175000
1629,266500
1630,185000
1631,175000
1632,175000
1633,210000
1634,175000
1635,175000
1636,175000
1637,147500
1638,210000
1639,210000
1640,210000
1641,210000
1642,175000
1643,175000
1644,185000
1645,142125
1646,210000
1647,210000
1648,147500
1649,142125
1650,142125
1651,142125
1652,92000
1653,92000
1654,148500
1655,175000
1656,175000
1657,148500
1658,148500
1659,175000
1660,142125
1661,266500
1662,287090
1663,287090
1664,147500
1665,287090
1666,260000
1667,266500
1668,287090
1669,210000
1670,287090
1671,210000
1672,210000
1673,210000
1674,266500
1675,175000
1676,175000
1677,266500
1678,210000
1679,210000
1680,266500
1681,266500
1682,210000
1683,185000
1684,210000
1685,175000
1686,175000
1687,210000
1688,175000
1689,175000
1690,175000
1691,175000
1692,175000
1693,266500
1694,175000
1695,175000
1696,210000
1697,175000
1698,210000
1699,210000
1700,185000
1701,185000
1702,287090
1703,287090
1704,287090
1705,185000
1706,185000
1707,185000
1708,266500
1709,147500
1710,185000
1711,210000
1712,185000
1713,266500
1714,185000
1715,175000
1716,266500
1717,185000
1718,175000
1719,210000
1720,210000
1721,210000
1722,142125
1723,142125
1724,266500
1725,175000
1726,175000
1727,175000
1728,185000
1729,175000
1730,210000
1731,147500
1732,147500
1733,142125
1734,147500
1735,142125
1736,142125
1737,142125
1738,266500
1739,151000
1740,175000
1741,175000
1742,175000
1743,175000
1744,147500
1745,210000
1746,147500
1747,175000
1748,147500
1749,147500
1750,147500
1751,185000
1752,142125
1753,147500
1754,210000
1755,147500
1756,180500
1757,142125
1758,147500
1759,147500
1760,142125
1761,147500
1762,147500
1763,147500
1764,147500
1765,147500
1766,147500
1767,147500
1768,147500
1769,147500
1770,142125
1771,147500
1772,142125
1773,147500
1774,147500
1775,142125
1776,142125
1777,147500
1778,142125
1779,147500
1780,115000
1781,147500
1782,147500
1783,142125
1784,112000
1785,142125
1786,147500
1787,266500
